bps_kode_provinsi;bps_nama_provinsi;tahun;bulan;daerah;persentase_penduduk_miskin;satuan
11;Aceh;2001;Maret;perkotaan;13.03;persen
11;Aceh;2001;Maret;perdesaan;20.92;persen
11;Aceh;2002;Maret;perkotaan;20.09;persen
11;Aceh;2002;Maret;perdesaan;33.06;persen
11;Aceh;2003;Maret;perkotaan;19.47;persen
11;Aceh;2003;Maret;perdesaan;33.63;persen
11;Aceh;2004;Maret;perkotaan;17.49;persen
11;Aceh;2004;Maret;perdesaan;32.57;persen
11;Aceh;2005;Maret;perkotaan;19.04;persen
11;Aceh;2005;Maret;perdesaan;32.6;persen
11;Aceh;2006;Maret;perkotaan;19.22;persen
11;Aceh;2006;Maret;perdesaan;31.98;persen
11;Aceh;2007;Maret;perkotaan;18.68;persen
11;Aceh;2007;Maret;perdesaan;29.87;persen
11;Aceh;2008;Maret;perkotaan;16.67;persen
11;Aceh;2008;Maret;perdesaan;26.3;persen
11;Aceh;2009;Maret;perkotaan;15.44;persen
11;Aceh;2009;Maret;perdesaan;24.37;persen
11;Aceh;2010;Maret;perkotaan;14.65;persen
11;Aceh;2010;Maret;perdesaan;23.54;persen
11;Aceh;2011;Maret;perkotaan;13.69;persen
11;Aceh;2011;Maret;perdesaan;21.87;persen
11;Aceh;2012;Maret;perkotaan;13.07;persen
11;Aceh;2012;Maret;perdesaan;21.97;persen
11;Aceh;2013;Maret;perkotaan;11.59;persen
11;Aceh;2013;Maret;perdesaan;19.96;persen
11;Aceh;2014;Maret;perkotaan;11.76;persen
11;Aceh;2014;Maret;perdesaan;20.52;persen
11;Aceh;2015;Maret;perkotaan;11.13;persen
11;Aceh;2015;Maret;perdesaan;19.44;persen
11;Aceh;2016;Maret;perkotaan;10.82;persen
11;Aceh;2016;Maret;perdesaan;19.11;persen
11;Aceh;2017;Maret;perkotaan;11.11;persen
11;Aceh;2017;Maret;perdesaan;19.37;persen
11;Aceh;2018;Maret;perkotaan;10.44;persen
11;Aceh;2018;Maret;perdesaan;18.49;persen
11;Aceh;2019;Maret;perkotaan;9.68;persen
11;Aceh;2019;Maret;perdesaan;18.03;persen
11;Aceh;2019;September;perkotaan;9.47;persen
11;Aceh;2019;September;perdesaan;17.68;persen
11;Aceh;2020;Maret;perkotaan;9.84;persen
11;Aceh;2020;Maret;perdesaan;17.46;persen
11;Aceh;2020;September;perkotaan;10.31;persen
11;Aceh;2020;September;perdesaan;17.96;persen
11;Aceh;2021;Maret;perkotaan;10.46;persen
11;Aceh;2021;Maret;perdesaan;17.78;persen
11;Aceh;2021;September;perkotaan;10.58;persen
11;Aceh;2021;September;perdesaan;18.04;persen
11;Aceh;2022;September;perkotaan;10.35;persen
11;Aceh;2022;September;perdesaan;17.06;persen
